Unique ID,Description,Category,Amount,Date,Account,Third Party
1676311868046791,Randomly generated expenses for Shopping,Shopping,7,2015-01-18,Chase Freedom Flex,Justine
1676311868046799,Randomly generated expenses for Food and Dining,Food and Dining,49,2015-01-19,Capital One Savor,
1676311868046805,Randomly generated expenses for Shopping,Shopping,18,2015-01-20,Chase Freedom Flex,
1676311868046812,Randomly generated expenses for Reimbursable or Refundable,Reimbursable or Refundable,10,2015-01-21,Chase Freedom Flex,
1676311868046819,Randomly generated expenses for Transportation,Transportation,23,2015-01-22,Chase Freedom Flex,
1676311868046825,Randomly generated expenses for Financial,Financial,2,2015-01-23,Chase Freedom Flex,
1676311868046832,Randomly generated expenses for Education,Education,39,2015-01-23,Chase Freedom Flex,
1676311868046838,Randomly generated expenses for Personal Care,Personal Care,41,2015-01-24,Chase Freedom Flex,
1676311868046844,Randomly generated expenses for Entertainment,Entertainment,29,2015-01-25,Discover It,
1676311868046851,Randomly generated expenses for Transportation,Transportation,10,2015-01-25,Discover It,
1676311868046857,Randomly generated expenses for Health and Fitness,Health and Fitness,15,2015-01-26,Amex Blue Cash Preferred,
1676311868046863,Randomly generated expenses for Reimbursable or Refundable,Reimbursable or Refundable,43,2015-01-27,Amex Blue Cash Preferred,
1676311868046869,Randomly generated expenses for Kids,Kids,46,2015-01-28,Discover It,
1676311868046876,Randomly generated expenses for Utilities,Utilities,39,2015-01-29,Chase Freedom Flex,
1676311868046883,Randomly generated expenses for Business Services,Business Services,7,2015-01-30,Chase Freedom Flex,
1676311868046889,Randomly generated expenses for Financial,Financial,23,2015-01-31,Schwab Investor Card,Sophia
1676311868046897,Randomly generated expenses for Business Services,Business Services,6,2015-02-01,Chase Freedom Flex,Ronald
1676311868046905,Randomly generated expenses for Reimbursable or Refundable,Reimbursable or Refundable,41,2015-02-02,Amex Blue Cash Preferred,
1676311868046912,Randomly generated expenses for Pet,Pet,28,2015-02-03,Capital One Savor,
1676311868046918,Randomly generated expenses for Book,Book,10,2015-02-04,Schwab Investor Card,Sophia
1676311868046925,Randomly generated expenses for Pet,Pet,45,2015-02-05,Capital One Savor,
1676311868046932,Randomly generated expenses for Food and Dining,Food and Dining,45,2015-02-06,Schwab Investor Card,Sophia
1676311868046939,Randomly generated expenses for Health and Fitness,Health and Fitness,35,2015-02-07,Discover It,Justine
1676311868046945,Randomly generated expenses for Gift,Gift,26,2015-02-08,Chase Freedom Flex,
1676311868046972,Randomly generated expenses for Home,Home,24,2015-02-09,Capital One Savor,
1676311868046983,Randomly generated expenses for Shopping,Shopping,28,2015-02-10,Chase Freedom Flex,
1676311868047000,Randomly generated expenses for Fees and Chargers,Fees and Chargers,2,2015-02-11,Schwab Investor Card,
1676311868047009,Randomly generated expenses for Education,Education,46,2015-02-12,Chase Freedom Flex,
1676311868047015,Randomly generated expenses for Gift,Gift,1,2015-02-13,Capital One Savor,
1676311868047023,Randomly generated expenses for Kids,Kids,25,2015-02-14,Amex Blue Cash Preferred,
1676311868047033,Randomly generated expenses for Food and Dining,Food and Dining,14,2015-02-15,Chase Freedom Flex,Justine
1676311868047040,Randomly generated expenses for Food and Dining,Food and Dining,49,2015-02-16,Chase Freedom Flex,
1676311868047047,Randomly generated expenses for Entertainment,Entertainment,4,2015-02-17,Chase Freedom Flex,
1676311868047053,Randomly generated expenses for Personal Care,Personal Care,30,2015-02-18,Chase Freedom Flex,
1676311868047060,Randomly generated expenses for Entertainment,Entertainment,35,2015-02-19,Capital One Savor,Sophia
1676311868047074,Randomly generated expenses for Health and Fitness,Health and Fitness,7,2015-02-20,Chase Freedom Flex,
1676311868047153,Randomly generated expenses for Utilities,Utilities,24,2015-02-21,Chase Freedom Flex,Justine
1676311868047173,Randomly generated expenses for Business Services,Business Services,10,2015-02-22,Discover It,
1676311868047185,Randomly generated expenses for Entertainment,Entertainment,46,2015-02-23,Schwab Investor Card,
1676311868047230,Randomly generated expenses for Pet,Pet,33,2015-02-24,Chase Freedom Flex,
1676311868047286,Randomly generated expenses for Financial,Financial,25,2015-02-25,Chase Freedom Flex,
1676311868047354,Randomly generated expenses for Entertainment,Entertainment,25,2015-02-26,Amex Blue Cash Preferred,
1676311868047378,Randomly generated expenses for Food and Dining,Food and Dining,49,2015-02-27,Capital One Savor,
1676311868047412,Randomly generated expenses for Education,Education,28,2015-02-28,Capital One Savor,
1676311868047420,Randomly generated expenses for Food and Dining,Food and Dining,27,2015-03-01,Chase Freedom Flex,
1676311868047430,Randomly generated expenses for Clothing,Clothing,48,2015-03-02,Chase Freedom Flex,
1676311868047440,Randomly generated expenses for Clothing,Clothing,9,2015-03-03,Chase Freedom Flex,
1676311868047446,Randomly generated expenses for Food and Dining,Food and Dining,12,2015-03-03,Chase Freedom Flex,
1676311868047453,Randomly generated expenses for Fees and Chargers,Fees and Chargers,12,2015-03-04,Capital One Savor,
1676311868047460,Randomly generated expenses for Book,Book,22,2015-03-05,Chase Freedom Flex,
1676311868047467,Randomly generated expenses for Uncategorized,Uncategorized,29,2015-03-06,Amex Blue Cash Preferred,
1676311868047473,Randomly generated expenses for Food and Dining,Food and Dining,48,2015-03-07,Discover It,
1676311868047481,Randomly generated expenses for Shopping,Shopping,12,2015-03-08,Schwab Investor Card,Ronald
1676311868047496,Randomly generated expenses for Entertainment,Entertainment,25,2015-03-09,Capital One Savor,
1676311868047505,Randomly generated expenses for Utilities,Utilities,49,2015-03-10,Amex Blue Cash Preferred,Justine
1676311868047535,Randomly generated expenses for Clothing,Clothing,15,2015-03-11,Schwab Investor Card,
1676311868047545,Randomly generated expenses for Entertainment,Entertainment,20,2015-03-12,Chase Freedom Flex,
1676311868047552,Randomly generated expenses for Shopping,Shopping,35,2015-03-13,Capital One Savor,
1676311868047557,Randomly generated expenses for Pet,Pet,31,2015-03-13,Chase Freedom Flex,
1676311868047587,Randomly generated expenses for Kids,Kids,47,2015-03-14,Chase Freedom Flex,
1676311868047598,Randomly generated expenses for Taxes,Taxes,7,2015-03-15,Chase Freedom Flex,
1676311868047626,Randomly generated expenses for Education,Education,18,2015-03-16,Amex Blue Cash Preferred,
1676311868047653,Randomly generated expenses for Clothing,Clothing,19,2015-03-17,Chase Freedom Flex,
1676311868047683,Randomly generated expenses for Pet,Pet,49,2015-03-18,Chase Freedom Flex,
1676311868047691,Randomly generated expenses for Kids,Kids,49,2015-03-19,Schwab Investor Card,
1676311868047697,Randomly generated expenses for Food and Dining,Food and Dining,44,2015-03-20,Amex Blue Cash Preferred,
1676311868047718,Randomly generated expenses for Business Services,Business Services,12,2015-03-21,Capital One Savor,
1676311868047746,Randomly generated expenses for Food and Dining,Food and Dining,15,2015-03-22,Discover It,
1676311868047755,Randomly generated expenses for Reimbursable or Refundable,Reimbursable or Refundable,39,2015-03-23,Chase Freedom Flex,
1676311868047762,Randomly generated expenses for Uncategorized,Uncategorized,46,2015-03-24,Chase Freedom Flex,
1676311868047769,Randomly generated expenses for Food and Dining,Food and Dining,43,2015-03-25,Chase Freedom Flex,
1676311868047776,Randomly generated expenses for Food and Dining,Food and Dining,17,2015-03-26,Chase Freedom Flex,Sophia
1676311868047783,Randomly generated expenses for Education,Education,41,2015-03-27,Discover It,
1676311868047788,Randomly generated expenses for Education,Education,8,2015-03-27,Amex Blue Cash Preferred,
1676311868047793,Randomly generated expenses for Education,Education,13,2015-03-27,Discover It,Cara
1676311868047800,Randomly generated expenses for Utilities,Utilities,8,2015-03-28,Chase Freedom Flex,
1676311868047807,Randomly generated expenses for Food and Dining,Food and Dining,10,2015-03-29,Discover It,
1676311868047813,Randomly generated expenses for Business Services,Business Services,20,2015-03-30,Chase Freedom Flex,
1676311868047820,Randomly generated expenses for Reimbursable or Refundable,Reimbursable or Refundable,44,2015-03-30,Schwab Investor Card,
1676311868047827,Randomly generated expenses for Business Services,Business Services,5,2015-03-30,Discover It,
1676311868047833,Randomly generated expenses for Entertainment,Entertainment,42,2015-03-31,Amex Blue Cash Preferred,
1676311868047840,Randomly generated expenses for Utilities,Utilities,13,2015-04-01,Chase Freedom Flex,
1676311868047845,Randomly generated expenses for Education,Education,10,2015-04-01,Chase Freedom Flex,
1676311868047852,Randomly generated expenses for Shopping,Shopping,2,2015-04-02,Amex Blue Cash Preferred,Justine
1676311868047859,Randomly generated expenses for Personal Care,Personal Care,4,2015-04-03,Discover It,
1676311868047891,Randomly generated expenses for Utilities,Utilities,19,2015-04-04,Discover It,
1676311868047898,Randomly generated expenses for Clothing,Clothing,9,2015-04-05,Chase Freedom Flex,
1676311868047904,Randomly generated expenses for Home,Home,3,2015-04-06,Discover It,
1676311868047909,Randomly generated expenses for Food and Dining,Food and Dining,49,2015-04-06,Capital One Savor,
1676311868047915,Randomly generated expenses for Uncategorized,Uncategorized,1,2015-04-06,Chase Freedom Flex,
1676311868047921,Randomly generated expenses for Reimbursable or Refundable,Reimbursable or Refundable,43,2015-04-07,Amex Blue Cash Preferred,
1676311868047928,Randomly generated expenses for Clothing,Clothing,28,2015-04-08,Discover It,
1676311868047934,Randomly generated expenses for Personal Care,Personal Care,6,2015-04-09,Discover It,
1676311868047940,Randomly generated expenses for Entertainment,Entertainment,38,2015-04-10,Chase Freedom Flex,
1676311868047947,Randomly generated expenses for Personal Care,Personal Care,3,2015-04-11,Discover It,
1676311868047953,Randomly generated expenses for Pet,Pet,12,2015-04-12,Discover It,
1676311868047960,Randomly generated expenses for Personal Care,Personal Care,28,2015-04-13,Chase Freedom Flex,
1676311868047967,Randomly generated expenses for Food and Dining,Food and Dining,10,2015-04-14,Capital One Savor,
1676311868047973,Randomly generated expenses for Misc Expenses,Misc Expenses,3,2015-04-15,Discover It,
1676311868047980,Randomly generated expenses for Home,Home,50,2015-04-15,Discover It,
1676311868047989,Randomly generated expenses for Food and Dining,Food and Dining,30,2015-04-16,Chase Freedom Flex,
1676311868048004,Randomly generated expenses for Book,Book,4,2015-04-17,Schwab Investor Card,
1676311868048018,Randomly generated expenses for Kids,Kids,29,2015-04-18,Discover It,
1676311868048027,Randomly generated expenses for Kids,Kids,6,2015-04-18,Chase Freedom Flex,
1676311868048033,Randomly generated expenses for Utilities,Utilities,48,2015-04-19,Discover It,
1676311868048043,Randomly generated expenses for Transportation,Transportation,6,2015-04-20,Capital One Savor,
1676311868048051,Randomly generated expenses for Entertainment,Entertainment,4,2015-04-21,Chase Freedom Flex,
1676311868048059,Randomly generated expenses for Clothing,Clothing,3,2015-04-21,Amex Blue Cash Preferred,
1676311868048065,Randomly generated expenses for Utilities,Utilities,11,2015-04-21,Chase Freedom Flex,
1676311868048072,Randomly generated expenses for Education,Education,18,2015-04-22,Chase Freedom Flex,
1676311868048079,Randomly generated expenses for Book,Book,5,2015-04-23,Amex Blue Cash Preferred,
1676311868048085,Randomly generated expenses for Food and Dining,Food and Dining,48,2015-04-24,Discover It,
1676311868048091,Randomly generated expenses for Transportation,Transportation,47,2015-04-25,Schwab Investor Card,Cara
1676311868048102,Randomly generated expenses for Fees and Chargers,Fees and Chargers,35,2015-04-26,Chase Freedom Flex,
1676311868048112,Randomly generated expenses for Utilities,Utilities,16,2015-04-27,Chase Freedom Flex,
1676311868048119,Randomly generated expenses for Utilities,Utilities,32,2015-04-28,Capital One Savor,
1676311868048124,Randomly generated expenses for Utilities,Utilities,2,2015-04-28,Chase Freedom Flex,
1676311868048131,Randomly generated expenses for Education,Education,11,2015-04-28,Chase Freedom Flex,Cara
1676311868048146,Randomly generated expenses for Education,Education,9,2015-04-29,Discover It,
1676311868048177,Randomly generated expenses for Shopping,Shopping,27,2015-04-30,Amex Blue Cash Preferred,
1676311868048185,Randomly generated expenses for Food and Dining,Food and Dining,5,2015-04-30,Capital One Savor,
1676311868048203,Randomly generated expenses for Pet,Pet,42,2015-05-01,Amex Blue Cash Preferred,
1676311868048233,Randomly generated expenses for Personal Care,Personal Care,11,2015-05-02,Chase Freedom Flex,Justine
1676311868048273,Randomly generated expenses for Pet,Pet,42,2015-05-03,Chase Freedom Flex,
1676311868048313,Randomly generated expenses for Kids,Kids,36,2015-05-03,Capital One Savor,
1676311868048362,Randomly generated expenses for Food and Dining,Food and Dining,24,2015-05-04,Chase Freedom Flex,
1676311868048370,Randomly generated expenses for Clothing,Clothing,43,2015-05-05,Capital One Savor,
1676311868048376,Randomly generated expenses for Shopping,Shopping,38,2015-05-06,Amex Blue Cash Preferred,
1676311868048381,Randomly generated expenses for Food and Dining,Food and Dining,29,2015-05-07,Chase Freedom Flex,
1676311868048387,Randomly generated expenses for Kids,Kids,46,2015-05-08,Discover It,
1676311868048393,Randomly generated expenses for Pet,Pet,48,2015-05-09,Amex Blue Cash Preferred,
1676311868048399,Randomly generated expenses for Shopping,Shopping,50,2015-05-10,Chase Freedom Flex,
1676311868048405,Randomly generated expenses for Utilities,Utilities,4,2015-05-11,Amex Blue Cash Preferred,
1676311868048410,Randomly generated expenses for Transportation,Transportation,45,2015-05-12,Amex Blue Cash Preferred,
1676311868048420,Randomly generated expenses for Clothing,Clothing,47,2015-05-13,Chase Freedom Flex,
1676311868048442,Randomly generated expenses for Clothing,Clothing,28,2015-05-14,Chase Freedom Flex,
1676311868048459,Randomly generated expenses for Utilities,Utilities,45,2015-05-15,Chase Freedom Flex,
1676311868048465,Randomly generated expenses for Utilities,Utilities,41,2015-05-16,Chase Freedom Flex,
1676311868048478,Randomly generated expenses for Business Services,Business Services,27,2015-05-17,Chase Freedom Flex,
1676311868048512,Randomly generated expenses for Book,Book,23,2015-05-18,Discover It,
1676311868048518,Randomly generated expenses for Gift,Gift,23,2015-05-19,Amex Blue Cash Preferred,
1676311868048524,Randomly generated expenses for Entertainment,Entertainment,38,2015-05-20,Discover It,
1676311868048530,Randomly generated expenses for Book,Book,46,2015-05-21,Schwab Investor Card,Sophia
1676311868048539,Randomly generated expenses for Food and Dining,Food and Dining,23,2015-05-22,Chase Freedom Flex,
1676311868048570,Randomly generated expenses for Misc Expenses,Misc Expenses,12,2015-05-23,Capital One Savor,
1676311868048584,Randomly generated expenses for Home,Home,32,2015-05-24,Chase Freedom Flex,
1676311868048591,Randomly generated expenses for Home,Home,15,2015-05-25,Chase Freedom Flex,
1676311868048598,Randomly generated expenses for Financial,Financial,1,2015-05-26,Amex Blue Cash Preferred,
1676311868048604,Randomly generated expenses for Kids,Kids,32,2015-05-27,Discover It,
1676311868048618,Randomly generated expenses for Business Services,Business Services,35,2015-05-28,Chase Freedom Flex,
1676311868048625,Randomly generated expenses for Gift,Gift,44,2015-05-29,Discover It,Cara
1676311868048630,Randomly generated expenses for Uncategorized,Uncategorized,39,2015-05-29,Amex Blue Cash Preferred,
1676311868048636,Randomly generated expenses for Utilities,Utilities,22,2015-05-30,Chase Freedom Flex,
1676311868048642,Randomly generated expenses for Utilities,Utilities,12,2015-05-30,Discover It,
1676311868048648,Randomly generated expenses for Food and Dining,Food and Dining,12,2015-05-31,Capital One Savor,
1676311868048654,Randomly generated expenses for Food and Dining,Food and Dining,14,2015-06-01,Chase Freedom Flex,
1676311868048660,Randomly generated expenses for Shopping,Shopping,8,2015-06-01,Amex Blue Cash Preferred,
1676311868048665,Randomly generated expenses for Book,Book,28,2015-06-02,Schwab Investor Card,
1676311868048671,Randomly generated expenses for Clothing,Clothing,15,2015-06-02,Discover It,
1676311868048676,Randomly generated expenses for Shopping,Shopping,40,2015-06-02,Chase Freedom Flex,
1676311868048682,Randomly generated expenses for Business Services,Business Services,29,2015-06-03,Chase Freedom Flex,
1676311868048687,Randomly generated expenses for Clothing,Clothing,25,2015-06-03,Discover It,
1676311868048693,Randomly generated expenses for Entertainment,Entertainment,18,2015-06-04,Chase Freedom Flex,Cara
1676311868048699,Randomly generated expenses for Food and Dining,Food and Dining,23,2015-06-05,Discover It,Cara
1676311868048706,Randomly generated expenses for Shopping,Shopping,33,2015-06-06,Discover It,
1676311868048711,Randomly generated expenses for Food and Dining,Food and Dining,29,2015-06-07,Discover It,
1676311868048717,Randomly generated expenses for Entertainment,Entertainment,50,2015-06-08,Amex Blue Cash Preferred,
1676311868048722,Randomly generated expenses for Shopping,Shopping,32,2015-06-08,Capital One Savor,
1676311868048728,Randomly generated expenses for Utilities,Utilities,29,2015-06-09,Discover It,
1676311868048734,Randomly generated expenses for Shopping,Shopping,45,2015-06-10,Capital One Savor,
1676311868048744,Randomly generated expenses for Uncategorized,Uncategorized,20,2015-06-11,Capital One Savor,
1676311868048753,Randomly generated expenses for Clothing,Clothing,11,2015-06-12,Discover It,
1676311868048762,Randomly generated expenses for Shopping,Shopping,34,2015-06-13,Capital One Savor,
1676311868048768,Randomly generated expenses for Shopping,Shopping,30,2015-06-14,Discover It,
1676311868048774,Randomly generated expenses for Food and Dining,Food and Dining,4,2015-06-15,Discover It,Justine
1676311868048780,Randomly generated expenses for Food and Dining,Food and Dining,6,2015-06-15,Schwab Investor Card,
1676311868048787,Randomly generated expenses for Shopping,Shopping,21,2015-06-16,Chase Freedom Flex,
1676311868048793,Randomly generated expenses for Shopping,Shopping,11,2015-06-17,Discover It,
1676311868048804,Randomly generated expenses for Food and Dining,Food and Dining,10,2015-06-17,Chase Freedom Flex,Justine
1676311868048812,Randomly generated expenses for Education,Education,17,2015-06-18,Discover It,
1676311868048818,Randomly generated expenses for Education,Education,25,2015-06-19,Amex Blue Cash Preferred,Cara
1676311868048824,Randomly generated expenses for Clothing,Clothing,8,2015-06-20,Chase Freedom Flex,Sophia
1676311868048830,Randomly generated expenses for Gift,Gift,3,2015-06-20,Discover It,
1676311868048840,Randomly generated expenses for Reimbursable or Refundable,Reimbursable or Refundable,6,2015-06-21,Schwab Investor Card,
1676311868048869,Randomly generated expenses for Kids,Kids,7,2015-06-22,Discover It,
1676311868048877,Randomly generated expenses for Food and Dining,Food and Dining,47,2015-06-23,Amex Blue Cash Preferred,
1676311868048883,Randomly generated expenses for Kids,Kids,8,2015-06-24,Chase Freedom Flex,
1676311868048889,Randomly generated expenses for Clothing,Clothing,19,2015-06-25,Chase Freedom Flex,
1676311868048894,Randomly generated expenses for Shopping,Shopping,28,2015-06-26,Discover It,
1676311868048913,Randomly generated expenses for Shopping,Shopping,4,2015-06-26,Amex Blue Cash Preferred,
1676311868048920,Randomly generated expenses for Utilities,Utilities,38,2015-06-27,Discover It,
1676311868048925,Randomly generated expenses for Uncategorized,Uncategorized,46,2015-06-28,Chase Freedom Flex,
1676311868048931,Randomly generated expenses for Pet,Pet,40,2015-06-29,Capital One Savor,Sophia
1676311868048937,Randomly generated expenses for Utilities,Utilities,25,2015-06-29,Chase Freedom Flex,
1676311868048943,Randomly generated expenses for Transportation,Transportation,28,2015-06-30,Discover It,
1676311868048950,Randomly generated expenses for Health and Fitness,Health and Fitness,22,2015-07-01,Chase Freedom Flex,
1676311868048955,Randomly generated expenses for Business Services,Business Services,6,2015-07-01,Chase Freedom Flex,
1676311868048961,Randomly generated expenses for Utilities,Utilities,24,2015-07-02,Discover It,
1676311868048966,Randomly generated expenses for Pet,Pet,20,2015-07-03,Discover It,
1676311868048972,Randomly generated expenses for Health and Fitness,Health and Fitness,11,2015-07-04,Schwab Investor Card,
1676311868048978,Randomly generated expenses for Utilities,Utilities,3,2015-07-05,Amex Blue Cash Preferred,
1676311868048984,Randomly generated expenses for Utilities,Utilities,39,2015-07-06,Chase Freedom Flex,
1676311868048992,Randomly generated expenses for Home,Home,42,2015-07-07,Discover It,
1676311868049001,Randomly generated expenses for Utilities,Utilities,46,2015-07-08,Chase Freedom Flex,
1676311868049022,Randomly generated expenses for Utilities,Utilities,23,2015-07-09,Chase Freedom Flex,
1676311868049055,Randomly generated expenses for Entertainment,Entertainment,25,2015-07-10,Discover It,
1676311868049073,Randomly generated expenses for Book,Book,17,2015-07-11,Amex Blue Cash Preferred,
1676311868049090,Randomly generated expenses for Food and Dining,Food and Dining,22,2015-07-12,Discover It,
1676311868049107,Randomly generated expenses for Food and Dining,Food and Dining,2,2015-07-13,Amex Blue Cash Preferred,
1676311868049131,Randomly generated expenses for Entertainment,Entertainment,10,2015-07-14,Schwab Investor Card,
1676311868049148,Randomly generated expenses for Shopping,Shopping,21,2015-07-15,Chase Freedom Flex,
1676311868049164,Randomly generated expenses for Food and Dining,Food and Dining,35,2015-07-16,Discover It,
1676311868049181,Randomly generated expenses for Education,Education,27,2015-07-17,Discover It,
1676311868049200,Randomly generated expenses for Kids,Kids,46,2015-07-17,Capital One Savor,
1676311868049218,Randomly generated expenses for Education,Education,7,2015-07-17,Discover It,
1676311868049239,Randomly generated expenses for Business Services,Business Services,3,2015-07-18,Schwab Investor Card,
1676311868049248,Randomly generated expenses for Shopping,Shopping,39,2015-07-18,Chase Freedom Flex,
1676311868049256,Randomly generated expenses for Entertainment,Entertainment,49,2015-07-19,Chase Freedom Flex,
1676311868049262,Randomly generated expenses for Education,Education,33,2015-07-20,Schwab Investor Card,
1676311868049268,Randomly generated expenses for Kids,Kids,11,2015-07-21,Amex Blue Cash Preferred,
1676311868049273,Randomly generated expenses for Shopping,Shopping,8,2015-07-22,Capital One Savor,
1676311868049279,Randomly generated expenses for Kids,Kids,37,2015-07-23,Chase Freedom Flex,
1676311868049285,Randomly generated expenses for Shopping,Shopping,13,2015-07-24,Amex Blue Cash Preferred,
1676311868049291,Randomly generated expenses for Health and Fitness,Health and Fitness,24,2015-07-25,Discover It,
1676311868049296,Randomly generated expenses for Clothing,Clothing,25,2015-07-25,Capital One Savor,
1676311868049301,Randomly generated expenses for Utilities,Utilities,1,2015-07-25,Discover It,
1676311868049308,Randomly generated expenses for Food and Dining,Food and Dining,38,2015-07-26,Amex Blue Cash Preferred,
1676311868049313,Randomly generated expenses for Entertainment,Entertainment,8,2015-07-27,Capital One Savor,
1676311868049319,Randomly generated expenses for Clothing,Clothing,6,2015-07-28,Schwab Investor Card,
1676311868049325,Randomly generated expenses for Pet,Pet,42,2015-07-29,Chase Freedom Flex,
1676311868049331,Randomly generated expenses for Health and Fitness,Health and Fitness,5,2015-07-30,Amex Blue Cash Preferred,
1676311868049336,Randomly generated expenses for Health and Fitness,Health and Fitness,42,2015-07-30,Chase Freedom Flex,
1676311868049341,Randomly generated expenses for Transportation,Transportation,9,2015-07-30,Discover It,
1676311868049347,Randomly generated expenses for Utilities,Utilities,33,2015-07-31,Chase Freedom Flex,
1676311868049353,Randomly generated expenses for Uncategorized,Uncategorized,16,2015-08-01,Chase Freedom Flex,Sophia
1676311868049359,Randomly generated expenses for Health and Fitness,Health and Fitness,9,2015-08-01,Discover It,
1676311868049364,Randomly generated expenses for Shopping,Shopping,39,2015-08-01,Chase Freedom Flex,
1676311868049369,Randomly generated expenses for Shopping,Shopping,5,2015-08-02,Capital One Savor,
1676311868049376,Randomly generated expenses for Home,Home,12,2015-08-03,Amex Blue Cash Preferred,
1676311868049381,Randomly generated expenses for Transportation,Transportation,2,2015-08-04,Amex Blue Cash Preferred,
1676311868049387,Randomly generated expenses for Entertainment,Entertainment,42,2015-08-05,Chase Freedom Flex,Ronald
1676311868049393,Randomly generated expenses for Gift,Gift,37,2015-08-06,Capital One Savor,Sophia
1676311868049399,Randomly generated expenses for Utilities,Utilities,38,2015-08-07,Discover It,
1676311868049405,Randomly generated expenses for Shopping,Shopping,41,2015-08-08,Capital One Savor,Sophia
1676311868049410,Randomly generated expenses for Shopping,Shopping,46,2015-08-08,Chase Freedom Flex,
1676311868049417,Randomly generated expenses for Utilities,Utilities,4,2015-08-09,Discover It,
1676311868049423,Randomly generated expenses for Food and Dining,Food and Dining,9,2015-08-10,Amex Blue Cash Preferred,
1676311868049429,Randomly generated expenses for Shopping,Shopping,6,2015-08-11,Capital One Savor,
1676311868049434,Randomly generated expenses for Kids,Kids,46,2015-08-12,Capital One Savor,
1676311868049440,Randomly generated expenses for Utilities,Utilities,28,2015-08-12,Capital One Savor,
1676311868049445,Randomly generated expenses for Education,Education,15,2015-08-13,Chase Freedom Flex,Cara
1676311868049451,Randomly generated expenses for Education,Education,39,2015-08-13,Discover It,
1676311868049456,Randomly generated expenses for Food and Dining,Food and Dining,26,2015-08-13,Chase Freedom Flex,
1676311868049462,Randomly generated expenses for Education,Education,2,2015-08-14,Discover It,
1676311868049468,Randomly generated expenses for Education,Education,38,2015-08-15,Chase Freedom Flex,
1676311868049474,Randomly generated expenses for Utilities,Utilities,17,2015-08-16,Chase Freedom Flex,
1676311868049479,Randomly generated expenses for Misc Expenses,Misc Expenses,16,2015-08-17,Capital One Savor,
1676311868049485,Randomly generated expenses for Education,Education,50,2015-08-18,Chase Freedom Flex,
1676311868049491,Randomly generated expenses for Entertainment,Entertainment,20,2015-08-19,Chase Freedom Flex,
1676311868049496,Randomly generated expenses for Shopping,Shopping,6,2015-08-20,Chase Freedom Flex,
1676311868049502,Randomly generated expenses for Shopping,Shopping,22,2015-08-21,Capital One Savor,
1676311868049507,Randomly generated expenses for Business Services,Business Services,4,2015-08-21,Capital One Savor,
1676311868049513,Randomly generated expenses for Entertainment,Entertainment,45,2015-08-22,Schwab Investor Card,Justine
1676311868049519,Randomly generated expenses for Education,Education,9,2015-08-23,Amex Blue Cash Preferred,
1676311868049525,Randomly generated expenses for Education,Education,17,2015-08-24,Amex Blue Cash Preferred,
1676311868049531,Randomly generated expenses for Utilities,Utilities,21,2015-08-25,Capital One Savor,
1676311868049537,Randomly generated expenses for Kids,Kids,11,2015-08-26,Amex Blue Cash Preferred,
